,hand,trial_dur,iti_dur,run_number,display_trial_feedback,trial_type,n_back,condition_name,replace_stimuli,feedback_type,stim,start_time,end_time
0,right,2,0.5,2,True,True,2_back+,hard,False,rt,18.jpg,0.0,2.0
1,right,2,0.5,2,True,True,2_back+,hard,False,rt,18.jpg,2.5,4.5
2,right,2,0.5,2,True,True,2_back+,hard,False,rt,18.jpg,5.0,7.0
3,right,2,0.5,2,True,False,2_back-,easy,False,rt,15.png,7.5,9.5
4,right,2,0.5,2,True,False,2_back-,easy,False,rt,11.jpg,10.0,12.0
5,right,2,0.5,2,True,False,2_back-,easy,False,rt,28.jpg,12.5,14.5
6,right,2,0.5,2,True,False,2_back-,easy,False,rt,18.jpg,15.0,17.0
7,right,2,0.5,2,True,False,2_back-,easy,False,rt,11.jpg,17.5,19.5
8,right,2,0.5,2,True,True,2_back+,hard,False,rt,18.jpg,20.0,22.0
9,right,2,0.5,2,True,True,2_back+,hard,False,rt,18.jpg,22.5,24.5
10,right,2,0.5,2,True,False,2_back-,easy,False,rt,18.jpg,25.0,27.0
11,right,2,0.5,2,True,False,2_back-,easy,False,rt,11.jpg,27.5,29.5
