,hand,trial_dur,iti_dur,run_number,display_trial_feedback,trial_type,n_back,condition_name,replace_stimuli,feedback_type,stim,start_time,end_time
0,left,2,0.5,4,True,False,2_back-,easy,False,acc,28.jpg,0.0,2.0
1,left,2,0.5,4,True,False,2_back-,easy,False,acc,15.png,2.5,4.5
2,left,2,0.5,4,True,True,2_back+,hard,False,acc,28.jpg,5.0,7.0
3,left,2,0.5,4,True,True,2_back+,hard,False,acc,15.png,7.5,9.5
4,left,2,0.5,4,True,True,2_back+,hard,False,acc,28.jpg,10.0,12.0
5,left,2,0.5,4,True,True,2_back+,hard,False,acc,15.png,12.5,14.5
6,left,2,0.5,4,True,False,2_back-,easy,False,acc,9.jpg,15.0,17.0
7,left,2,0.5,4,True,True,2_back+,hard,False,acc,15.png,17.5,19.5
8,left,2,0.5,4,True,True,2_back+,hard,False,acc,9.jpg,20.0,22.0
9,left,2,0.5,4,True,False,2_back-,easy,False,acc,18.jpg,22.5,24.5
10,left,2,0.5,4,True,False,2_back-,easy,False,acc,18.jpg,25.0,27.0
11,left,2,0.5,4,True,False,2_back-,easy,False,acc,28.jpg,27.5,29.5
