trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback
0	read	2	0.5	0.0	2.5	wrench      	False
1	read	2	0.5	2.5	5.0	rabbit      	False
2	read	2	0.5	5.0	7.5	sock        	False
3	read	2	0.5	7.5	10.0	asparagus   	False
4	read	2	0.5	10.0	12.5	stool       	False
5	read	2	0.5	12.5	15.0	arm         	False
6	read	2	0.5	15.0	17.5	cigar       	False
7	read	2	0.5	17.5	20.0	iron        	False
8	read	2	0.5	20.0	22.5	saw         	False
9	read	2	0.5	22.5	25.0	dog         	False
10	read	2	0.5	25.0	27.5	sled        	False
11	read	2	0.5	27.5	30.0	church      	False
