trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim
0	generate	2	0.5	0.0	2.5	peach       
1	generate	2	0.5	2.5	5.0	hammer      
2	generate	2	0.5	5.0	7.5	shampoo     
3	generate	2	0.5	7.5	10.0	leg         
4	generate	2	0.5	10.0	12.5	pizza      
5	generate	2	0.5	12.5	15.0	bell        
6	generate	2	0.5	15.0	17.5	vest        
7	generate	2	0.5	17.5	20.0	pear        
8	generate	2	0.5	20.0	22.5	envelope    
9	generate	2	0.5	22.5	25.0	brush       
10	generate	2	0.5	25.0	27.5	disease     
11	generate	2	0.5	27.5	30.0	desk        
