trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim
0	generate	2	0.5	0.0	2.5	house       
1	generate	2	0.5	2.5	5.0	toothbrush  
2	generate	2	0.5	5.0	7.5	chain       
3	generate	2	0.5	7.5	10.0	nut         
4	generate	2	0.5	10.0	12.5	pipe        
5	generate	2	0.5	12.5	15.0	swan        
6	generate	2	0.5	15.0	17.5	lobster     
7	generate	2	0.5	17.5	20.0	school      
8	generate	2	0.5	20.0	22.5	boot        
9	generate	2	0.5	22.5	25.0	thimble     
10	generate	2	0.5	25.0	27.5	peach       
11	generate	2	0.5	27.5	30.0	belt        
