task_name	task_code	task_file	instruction_dur	start_time	end_time
finger_sequence	fingseq	finger_sequence_10.tsv	5	0	35
action_observation	acva-acvk	action_observation_10.tsv	5	35	70
rest	rest	rest_10.tsv	5	70	105
tongue_movement	tongue	tongue_movement_10.tsv	5	105	140
sentence_reading	senread	sentence_reading_10.tsv	5	140	175
demand_grid	dmgrd	demand_grid_10.tsv	5	175	210
n_back	nbko	n_back_10.tsv	5	210	245
verb_generation	vrbgn-wrdrd	verb_generation_10.tsv	5	245	280
auditory_narrative	audnarr	auditory_narrative_10.tsv	5	280	315
theory_of_mind	tom	theory_of_mind_10.tsv	5	315	350
