task_name	task_code	task_file	instruction_dur	start_time	end_time
finger_sequence	fingseq	finger_sequence_03.tsv	5	0	35
n_back	nbko	n_back_03.tsv	5	35	70
sentence_reading	senread	sentence_reading_03.tsv	5	70	105
action_observation	acva-acvk	action_observation_03.tsv	5	105	140
theory_of_mind	tom	theory_of_mind_03.tsv	5	140	175
rest	rest	rest_03.tsv	5	175	210
tongue_movement	tongue	tongue_movement_03.tsv	5	210	245
demand_grid	dmgrd	demand_grid_03.tsv	5	245	280
verb_generation	vrbgn-wrdrd	verb_generation_03.tsv	5	280	315
auditory_narrative	audnarr	auditory_narrative_03.tsv	5	315	350
