task_name	task_code	task_file	instruction_dur	start_time	end_time
demand_grid	dmgrd	demand_grid_08.tsv	5	0	35
auditory_narrative	audnarr	auditory_narrative_08.tsv	5	35	70
finger_sequence	fingseq	finger_sequence_08.tsv	5	70	105
n_back	nbko	n_back_08.tsv	5	105	140
tongue_movement	tongue	tongue_movement_08.tsv	5	140	175
theory_of_mind	tom	theory_of_mind_08.tsv	5	175	210
sentence_reading	senread	sentence_reading_08.tsv	5	210	245
verb_generation	vrbgn-wrdrd	verb_generation_08.tsv	5	245	280
action_observation	acva-acvk	action_observation_08.tsv	5	280	315
rest	rest	rest_08.tsv	5	315	350
