task_name	task_code	task_file	instruction_dur	start_time	end_time
rest	rest	rest_04.tsv	5	0	35
sentence_reading	senread	sentence_reading_04.tsv	5	35	70
finger_sequence	fingseq	finger_sequence_04.tsv	5	70	105
demand_grid	dmgrd	demand_grid_04.tsv	5	105	140
verb_generation	vrbgn-wrdrd	verb_generation_04.tsv	5	140	175
action_observation	acva-acvk	action_observation_04.tsv	5	175	210
auditory_narrative	audnarr	auditory_narrative_04.tsv	5	210	245
n_back	nbko	n_back_04.tsv	5	245	280
tongue_movement	tongue	tongue_movement_04.tsv	5	280	315
theory_of_mind	tom	theory_of_mind_04.tsv	5	315	350
