task_name	task_code	task_file	instruction_dur	start_time	end_time
theory_of_mind	tom	theory_of_mind_01.tsv	5	0	35
n_back	nbko	n_back_01.tsv	5	35	70
sentence_reading	senread	sentence_reading_01.tsv	5	70	105
rest	rest	rest_01.tsv	5	105	140
action_observation	acva-acvk	action_observation_01.tsv	5	140	175
auditory_narrative	audnarr	auditory_narrative_01.tsv	5	175	210
verb_generation	vrbgn-wrdrd	verb_generation_01.tsv	5	210	245
finger_sequence	fingseq	finger_sequence_01.tsv	5	245	280
tongue_movement	tongue	tongue_movement_01.tsv	5	280	315
demand_grid	dmgrd	demand_grid_01.tsv	5	315	350
