task_name	task_code	task_file	instruction_dur	start_time	end_time
verb_generation	vrbgn-wrdrd	verb_generation_02.tsv	5	0	35
rest	rest	rest_02.tsv	5	35	70
spatial_navigation	spatialnav	spatial_navigation_02.tsv	5	70	105
movie	mov	movie_02.tsv	5	105	140
faux_pas	faux_pas	faux_pas_02.tsv	5	140	175
temp_deviant	temp_deviant	temp_deviant_02.tsv	5	175	210
action_observation	acva-acvk	action_observation_02.tsv	5	210	245
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_02.tsv	5	245	280
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_02.tsv	5	280	315
tongue_movement	tongue	tongue_movement_02.tsv	5	315	350
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_02.tsv	5	350	385
rest_surprise_images	rest_surp_img	rest_surprise_images_02.tsv	5	385	420
