task_name	task_code	task_file	instruction_dur	start_time	end_time
demand_grid	dmgrd	demand_grid_09.tsv	5	0	35
n_back	nbko	n_back_09.tsv	5	35	70
tongue_movement	tongue	tongue_movement_09.tsv	5	70	105
sentence_reading	senread	sentence_reading_09.tsv	5	105	140
finger_sequence	fingseq	finger_sequence_09.tsv	5	140	175
verb_generation	vrbgn-wrdrd	verb_generation_09.tsv	5	175	210
action_observation	acva-acvk	action_observation_09.tsv	5	210	245
auditory_narrative	audnarr	auditory_narrative_09.tsv	5	245	280
theory_of_mind	tom	theory_of_mind_09.tsv	5	280	315
rest	rest	rest_09.tsv	5	315	350
