run_num	key_true	key_false	trial_type	trial_num	hand	trial_dur	iti_dur	story	question	condition	answer	story_dur	question_dur	text_height	reward_value	reward_cue	reward_cue_dur	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct	points_earned
1	4	3	1	0	left	15	0	Sophie tells her mother that her train  from Budapest is arriving at 8PM in  Vienna. Sophie confuses the platform numbers and boards the train  to Prague without realising her mistake.	"Sophie arrives at the station 
in Prague does not see her mother

True or False"	belief	True	10	4	0.9	3	3	1	True	0	15	183.0008122085128	0	183.00081333355047	4	3.9989452082663774	True	3
1	4	3	1	1	left	15	0	An old photograph of the public library portrays a red-brick building with green ivy creeping up the side. Soon after the photograph was taken, the building was  demolished and the site was left derelict	"A photograph taken today shows
an empty site

True or False"	photo	True	10	4	0.9	1	1	1	True	15	30	198.06382562499493	0	198.0638267500326	4	2.9300919584929943	True	1
2	4	3	0	0	left	15	0	Expecting the game to be postponed because of the rain, the Garcia family took the subway home. The score was tied, 3-3. During their commute the rain stopped and the game soon ended with a score of 5-3.	"The Garcia family arrives home 
believing the score is 5-3.

True or False"	belief	False	10	4	0.9	1	1	1	True	0	15	43.00111895846203	0	43.001120041823015	4	2.4213914168067276	False	0
2	4	3	1	1	left	15	0	Accounts of the country's bustling economic  success were recorded in both fiction and non-fiction books from the early 1900s. Soon after, a horrible plague hit the country and  the country was sent into an economic depression.	"Early 1900s novels portray the
country as experiencing economic 
wealth.

True or False"	photo	True	10	4	0.9	3	3	1	True	15	30	58.0006264585536	0	58.00062754191458	4	3.2532975000794977	True	3
3	4	3	1	0	left	15	0	When Lisa left Jacob he was deep asleep on the beach. A few minutes later a wave woke him. Seeing Lisa was gone Jacob decided to go swimming.	"Lisa now believes that Jacob is sleeping.

True or False "	belief	True	10	4	0.9	3	3	1	True	0	15	148.00078641669825	0	148.0007874998264	4	2.5265999999828637	True	3
3	4	3	1	1	left	15	0	At the time a portrait was drawn of a young man, he had short brown hair and no facial hair. Now the man's hair is long and gray and so is his beard.  	"Today the length of the man's hair
is long.

True or False "	photo	True	10	4	0.9	1	1	1	True	15	30	163.00063162483275	0	163.00063270842656	4	2.2583382916636765	True	1
4	4	3	1	0	left	15	0	Susie parked her sportscar in the driveway. In the middle of the night Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.	"Susie sees the minivan in
the driveway.

True or False "	belief	True	10	4	0.9	1	1	1	True	0	15	8.00086316652596	0	8.000864166533574	4	1.947942958213389	True	1
4	4	3	0	1	left	15	0	The girl's middle school pictures showed her wearing a white blouse. Later, a red sock was accidentally washed with the blouse and the blouse turned pink.  	"Today the color of the blouse is white.

True or False "	photo	False	10	4	0.9	3	3	1	True	15	30	23.000777583336458	0	23.000778625020757	3	1.5317922916729003	True	3
5	4	3	0	0	left	15	0	Sally and Greg called ahead of time to make a reservation for the back-country cabin. The park ranger forgot to write down the reservation and two other hikers got to the cabin first.	"When the hikers arrive they see no
one in their cabin.

True or False "	belief	False	10	4	0.9	1	1	1	True	0	15	183.00079441652633	0	183.00079550012015	3	3.121316833421588	True	1
5	4	3	0	1	left	15	0	When the picture was taken of the house, it was one story tall. Since then, the renovators added an additional story and a garage.	"The house is currently one story.

True or False "	photo	False	10	4	0.9	3	3	1	True	15	30	198.0006377915852	0	198.00063891662285	3	1.9986772916745392	True	3
13	1	2	0	0	right	15	0	Annie tells Carl that she has to work late.  Instead, Annie arrives home before Carl to  surprise him for his birthday. Carl goes  out with his friends straight after work, arriving home late. 	"Annie knows that Carl
is out with his friends

True or False"	belief	False	10	4	0.9	3	3	1	True	0	15	43.00082329148427	0	43.00082429149188	2	2.690069500124082	True	3
13	1	2	1	1	right	15	0	The professor asked his graduate student to present her work at a conference.  The student is sick on the day of the conference and she asks a  colleague to present the work instead. 	"The professor's graduate student 
does not give the presentation

True or False"	photo	True	10	4	0.9	1	1	1	True	15	30	58.00108241662383	0	58.00108345830813	1	2.7576445832382888	True	1
