run_num	trial_num	hand	key_yes	key_no	trial_dur	iti_dur	story	question	options	trial_type	condition	story_dur	question_dur	text_height	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	left	4	3	14	1	"Jill had just moved into a new flat and bought curtains for her bedroom. After decorating, her best friend Lisa visited. Jill gave her a tour and asked, “How do you like my bedroom?”
“Those curtains are horrible,” Lisa said."""	Did Jill just move into a new flat?	Yes, No	1	control	10	4	1.25	True	0	15	113.0001772083342	0	113.00017820833456	4	2.178409541666042	True
1	1	left	4	3	14	1	"Louise went to the butcher and asked, “Do you have any free-range chickens?”
The butcher nodded and began wrapping a roasted chicken.
“Excuse me,” Louise said, “I asked for free-range.”
“Oh sorry,” the butcher replied, “we’re all out.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	128.00004787500075	0	128.00004887500108	3	3.0735780833347235	True
2	0	left	4	3	14	1	"Joan took her dog, Zack, to the park and threw a stick for him. Pam, a neighbor, passed by and asked, “Want to walk home together?”
“Sure,” said Joan. She called Zack but he was busy chasing pigeons. “Nevermind, we’ll stay” Joan added."	Did Joan walk home with Pam?	Yes, No	2	control	10	4	1.25	True	0	15	183.00021595833095	0	183.00021691666188	3	1.3775771250002435	True
2	1	left	4	3	14	1	Sophia baked a chocolate cake for her grandmother’s birthday. When her cousin Alex saw the cake, he said, “Oh great, cake! I love all cake apart from chocolate cake.” Sophia frowned and said, “Oh, it’s grandma’s favorite.”	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	198.0000541249974	0	198.00005566666368	4	1.1900555833271935	True
3	0	left	4	3	14	1	At the office, Jake saw his coworker Lily with a big smile. “Congrats on your promotion!” he said. Lily’s face fell. “I didn’t get it,” she replied. “Oh,” Jake muttered, and walked away.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	0	15	78.00019650000468	0	78.0001974583356	3	0.9256947916655918	False
3	1	left	4	3	14	1	"Jeanette gave Anne a crystal bowl as a wedding gift. A year later, at Anne’s for dinner, Jeanette accidentally broke the bowl.
“I’m sorry,” Jeanette said.
“Don’t worry,” Anne replied. “I never liked it anyways. Someone gave it to me.”"	Did the bowl break?	Yes, No	1	control	10	4	1.25	True	15	30	93.00001987500582	0	93.0000207916746	4	1.3870695833320497	True
4	0	left	4	3	14	1	Emily was meeting her friend Alice’s boyfriend for the first time. While chatting, she said, “You and your brother don’t look alike at all!” Sam said. “He’s actually my boyfriend,” he said.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	0	15	183.00024166666844	0	183.00024258333724	4	0.7975014999974519	True
4	1	left	4	3	14	1	Joe found a sailing book at the library. After checking his wallet he realized he’d left his library card at home. “I’m sorry,” he said to the librarian. She replied, “That’s OK. If you’re in the computer, you can check out with your driving license”	Did Joe check out the book?	Yes, No	1	control	10	4	1.25	True	15	30	198.0000436666669	0	198.00004454166628	4	1.70315649999975	True
6	0	left	4	3	14	1	"Helen's husband planned a surprise birthday party. He warned Sarah, ""Don't tell Helen."" While with Helen, Sarah spilled coffee on her dress and said, ""Oh! I was wearing this to your party!"" ""What party?"" Said Helen."	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	0	15	148.00019983333186	0	148.00020075000066	3	3.244096083333716	False
6	1	left	4	3	14	1	"Tim spilled coffee on the floor at a restaurant. The waiter said, “I’ll get you another cup,” and left.
Tim approached Jack, a customer by the cashier, and asked, “I spilled coffee by my table. Can you mop it up?”"	Did Jack spill the coffee?	Yes, No	2	control	10	4	1.25	True	15	30	163.0000200416689	0	163.0000209583377	4	2.801126041660609	False
7	0	right	1	2	14	1	"John stopped at the petrol station to fill his car. When the cashier ran his card she said ""The machine won't accept it."" ""That's funny,"" John said. ""I'll pay in cash."" He gave her fifty and said, ""I filled up with unleaded."""	Did the machine accept John's card?	Yes, No	2	control	10	4	1.25	True	0	15	8.000226958334679	0	8.000227874996199	2	2.2682481666706735	True
7	1	right	1	2	14	1	"Richard backed his new red Peugeot into his neighbor Ted’s old Volvo, leaving only a scratch above the wheel. He knocked on Ted’s door, saying, “I’m sorry about the scratch.”
Ted looked and said, “Don’t worry. It was an accident.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	23.000046125001973	0	23.00004712500231	2	0.8914995833329158	True
8	0	right	1	2	14	1	Emma was leaving the office when she noticed it was raining. She reached for her umbrella but realized she had left it at home. “I’ll just run,” she thought, and hurried to the bus stop.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	43.000180875002115	0	43.00018179167091	2	1.161383291662787	True
8	1	right	1	2	14	1	Sally, a three-year-old girl with short blonde hair was at her Aunt Carol's house. A neighbour, Mary, rang the doorbell and Carol answered. Mary looked at Sally and said, “Oh, I don’t think I’ve met this little boy. What’s your name?”	Did Sally ring the doorbell?	Yes, No	2	control	10	4	1.25	True	15	30	58.00004283332965	0	58.00006045833288	1	1.171693916672666	False
9	0	right	1	2	14	1	"Kim’s cousin Scott was coming to visit, and Kim made an apple pie for him. After dinner, she said, “I made a pie just for you.”
“Mmmm,” Scott replied. “It smells great! I love pies—except for apple, of course.”"	Is Scott Kim's brother?	Yes, No	2	control	10	4	1.25	True	0	15	148.00020408333512	0	148.00020504166605	1	3.2033684166672174	False
9	1	right	1	2	14	1	Liam ordered a cappuccino at the café. When his drink arrived, he saw it was a latte. “Excuse me,” he said, “I ordered a cappuccino.” The barista apologized and quickly made the right drink.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	163.00004720833385	0	163.0000482083342	2	0.590584375000617	True
10	0	right	1	2	14	1	"Eleanor, an older lady, tiredly stood waiting 20 minutes for a late bus. When it arrived there were no seats left.
Eleanor greeted her neighbour Paul, speaking about the wait.
A young man stood and said, “Ma’am, would you like my seat?”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	218.00014133332297	0	218.0001422916612	2	0.9553019583399872	True
