task_name	task_code	task_file	instruction_dur	start_time	end_time
rest	rest	rest_18.tsv	5	3	38
temp_deviant	temp_deviant	temp_deviant_18.tsv	5	38	73
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_18.tsv	5	73	108
spatial_navigation	spatialnav	spatial_navigation_18.tsv	5	108	143
action_observation	acva-acvk	action_observation_18.tsv	5	143	178
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_18.tsv	5	178	213
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_18.tsv	5	213	248
verb_generation	vrbgn-wrdrd	verb_generation_18.tsv	5	248	283
movie	mov	movie_18.tsv	5	283	318
visual_search	visrchsml	visual_search_18.tsv	5	318	353
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_18.tsv	5	353	388
tongue_movement	tongue	tongue_movement_18.tsv	5	388	423
faux_pas	faux_pas	faux_pas_18.tsv	5	423	466
