task_name	task_code	task_file	instruction_dur	start_time	end_time
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_06.tsv	5	3	38
movie	mov	movie_06.tsv	5	38	73
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_06.tsv	5	73	108
visual_search	visrchsml	visual_search_06.tsv	5	108	143
temp_deviant	temp_deviant	temp_deviant_06.tsv	5	143	178
spatial_navigation	spatialnav	spatial_navigation_06.tsv	5	178	213
rest	rest	rest_06.tsv	5	213	248
faux_pas	faux_pas	faux_pas_06.tsv	5	248	283
tongue_movement	tongue	tongue_movement_06.tsv	5	283	318
action_observation	acva-acvk	action_observation_06.tsv	5	318	353
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_06.tsv	5	353	388
verb_generation	vrbgn-wrdrd	verb_generation_06.tsv	5	388	423
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_06.tsv	5	423	466
