task_name	task_code	task_file	instruction_dur	start_time	end_time
tongue_movement	tongue	tongue_movement_25.tsv	5	3	38
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_25.tsv	5	38	73
verb_generation	vrbgn-wrdrd	verb_generation_25.tsv	5	73	108
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_25.tsv	5	108	143
spatial_navigation	spatialnav	spatial_navigation_25.tsv	5	143	178
action_observation	acva-acvk	action_observation_25.tsv	5	178	213
rest	rest	rest_25.tsv	5	213	248
faux_pas	faux_pas	faux_pas_25.tsv	5	248	283
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_25.tsv	5	283	318
temp_deviant	temp_deviant	temp_deviant_25.tsv	5	318	353
visual_search	visrchsml	visual_search_25.tsv	5	353	388
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_25.tsv	5	388	423
movie	mov	movie_25.tsv	5	423	466
