trial_num	trial_type	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback
0	read	2	0.5	0.0	2.5	guitar      	False
1	read	2	0.5	2.5	5.0	owl         	False
2	read	2	0.5	5.0	7.5	knife       	False
3	read	2	0.5	7.5	10.0	bat         	False
4	read	2	0.5	10.0	12.5	lemon       	False
5	read	2	0.5	12.5	15.0	carrot      	False
6	generate	2	0.5	15.0	17.5	accordion   	False
7	generate	2	0.5	17.5	20.0	grasshopper 	False
8	generate	2	0.5	20.0	22.5	finger      	False
9	generate	2	0.5	22.5	25.0	lobster     	False
10	generate	2	0.5	25.0	27.5	cell        	False
11	generate	2	0.5	27.5	30.0	fish        	False
