trial_num	trial_type	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback
0	read	2	0.5	0.0	2.5	orange      	False
1	read	2	0.5	2.5	5.0	pitcher     	False
2	read	2	0.5	5.0	7.5	sled        	False
3	read	2	0.5	7.5	10.0	axe         	False
4	read	2	0.5	10.0	12.5	owl         	False
5	read	2	0.5	12.5	15.0	theater     	False
6	generate	2	0.5	15.0	17.5	jacket      	False
7	generate	2	0.5	17.5	20.0	well        	False
8	generate	2	0.5	20.0	22.5	light       	False
9	generate	2	0.5	22.5	25.0	cherry      	False
10	generate	2	0.5	25.0	27.5	barrel      	False
11	generate	2	0.5	27.5	30.0	make-up     	False
