trial_num	trial_type	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback
0	read	2	0.5	0.0	2.5	banana      	False
1	read	2	0.5	2.5	5.0	carrot      	False
2	read	2	0.5	5.0	7.5	celery      	False
3	read	2	0.5	7.5	10.0	sister     	False
4	read	2	0.5	10.0	12.5	leaf        	False
5	read	2	0.5	12.5	15.0	windmill    	False
6	generate	2	0.5	15.0	17.5	finger      	False
7	generate	2	0.5	17.5	20.0	pizza      	False
8	generate	2	0.5	20.0	22.5	university  	False
9	generate	2	0.5	22.5	25.0	game        	False
10	generate	2	0.5	25.0	27.5	ocean       	False
11	generate	2	0.5	27.5	30.0	velvet     	False
